Date,game_id,game_pk,pitcher_name,retroID_pitcher,fangraphsID_pitcher,mlbID_pitcher,brefID_pitcher,fgTeam_pitcher,mlbTeam_pitcher,fgTeam_batter,mlbTeam_batter,GS,W,L,SV,HLD,IP,TBF,H,R,ER,HR,BB,SO,BABIP,ERA,FIP,xFIP,Hper9,HRper9,Kper9,BBper9,Innings,Year,balls,strikes,cluster,classified
8/9/2019,SEA201908090,566432,Marco Gonzales,gonzm005,15467,594835,gonzama02,SEA,SEA,TBR,TB,1,0,0,0,0,6.1,27,7,2,2,0,2,9,0.438,2.84,1.32,2.26,9.95,0,12.79,2.84,6.33,2019,32,66,2,Bad Start
8/10/2019,SEA201908100,566433,Charlie Morton,mortc002,4676,450203,mortoch02,TBR,TB,SEA,SEA,1,1,0,0,0,6,27,9,4,4,1,0,10,0.5,6,2.05,2.2,13.5,1.5,15,0,6,2019,33,67,2,Bad Start
8/11/2019,SEA201908110,566434,Ryan Yarbrough,yarbr001,16502,642232,yarbrry01,TBR,TB,SEA,SEA,1,1,0,0,0,8.2,29,3,0,0,0,0,8,0.143,0,1.37,3.2,3.12,0,8.31,0,8.67,2019,26,73,1,Good Start
9/11/2019,SEA201909110,566442,Marco Gonzales,gonzm005,15467,594835,gonzama02,SEA,SEA,CIN,CIN,1,1,0,0,0,7,28,5,2,2,1,2,7,0.222,2.57,3.93,4.34,6.43,1.29,9,2.57,7,2019,42,67,1,Good Start
9/25/2019,SEA201909250,566448,Zack Greinke,greiz001,1943,425844,greinza01,HOU,HOU,SEA,SEA,1,1,0,0,0,8.1,27,2,0,0,0,1,9,0.118,0,1.41,2.13,2.16,0,9.72,1.08,8.33,2019,40,68,1,Good Start
9/28/2019,SEA201909280,566451,Marco Gonzales,gonzm005,15467,594835,gonzama02,SEA,SEA,OAK,OAK,1,0,1,0,0,7,27,5,1,1,1,3,4,0.211,1.29,5.21,5.35,6.43,1.29,5.14,3.86,7,2019,45,73,1,Good Start
4/19/2019,ANA201904190,564742,Marco Gonzales,gonzm005,15467,594835,gonzama02,SEA,SEA,LAA,LAA,1,0,0,0,0,7,29,8,3,3,1,2,6,0.35,3.86,4.21,4.06,10.29,1.29,7.71,2.57,7,2019,28,68,1,Good Start
5/4/2019,ANA201905040,564752,Wade Miley,milew001,8779,489119,mileywa01,HOU,HOU,LAA,LAA,1,1,0,0,0,6,27,6,2,2,1,2,2,0.227,3,5.71,5.87,9,1.5,3,3,6,2019,40,62,2,Bad Start
5/17/2019,ANA201905170,564754,Brad Keller,kellb003,15734,641745,kellebr01,KCR,KC,LAA,LAA,1,0,1,0,0,5.2,27,7,4,4,0,5,3,0.368,6.35,4.8,5.86,11.12,0,4.76,7.94,5.67,2019,45,63,2,Bad Start
5/18/2019,ANA201905180,564755,Jakob Junis,junij001,13619,596001,junisja01,KCR,KC,LAA,LAA,1,0,1,0,0,7,28,6,5,4,2,2,6,0.222,5.14,6.07,4.91,7.71,2.57,7.71,2.57,7,2019,38,61,1,Good Start
5/19/2019,ANA201905190,564756,Danny Duffy,duffd001,3542,518633,duffyda01,KCR,KC,LAA,LAA,1,1,0,0,0,6,27,5,1,1,0,3,5,0.278,1.5,3.55,6.2,7.5,0,7.5,4.5,6,2019,37,69,1,Good Start
5/24/2019,ANA201905240,564760,Drew Smyly,smyld001,11760,592767,smylydr01,TEX,TEX,LAA,LAA,1,1,0,0,0,6,27,5,3,3,2,4,4,0.176,4.5,8.21,6.86,7.5,3,6,6,6,2019,34,59,2,Bad Start
6/4/2019,ANA201906040,564763,Griffin Canning,canng001,19867,656288,cannigr01,LAA,LAA,OAK,OAK,1,0,1,0,0,6,27,7,4,4,1,1,8,0.375,6,3.71,3.87,10.5,1.5,12,1.5,6,2019,39,63,2,Bad Start
6/28/2019,ANA201906280,564774,Mike Fiers,fierm001,7754,571666,fiersmi01,OAK,OAK,LAA,LAA,1,1,0,0,0,6.2,27,6,1,1,0,1,4,0.273,1.35,2.46,4.85,8.1,0,5.4,1.35,6.67,2019,34,70,1,Good Start
7/17/2019,ANA201907170,564782,Gerrit Cole,coleg001,13125,543037,colege01,HOU,HOU,LAA,LAA,1,1,0,0,0,7,28,7,1,1,1,1,11,0.4,1.29,2.36,1.64,9,1.29,14.14,1.29,7,2019,33,76,1,Good Start
7/18/2019,ANA201907180,564783,Matt Harvey,harvm001,11713,518774,harvema01,LAA,LAA,HOU,HOU,1,0,1,0,0,6,28,7,6,6,2,5,1,0.25,9,9.71,7.04,10.5,3,1.5,7.5,6,2019,39,53,2,Bad Start
8/15/2019,ANA201908150,564794,Reynaldo Lopez,loper003,16400,625643,lopezre01,CHW,CWS,LAA,LAA,1,0,1,0,0,5.1,27,9,5,5,1,2,6,0.444,8.44,4.53,4.7,15.19,1.69,10.12,3.38,5.33,2019,39,59,2,Bad Start
8/16/2019,ANA201908160,564795,Lucas Giolito,gioll001,15474,608337,giolilu01,CHW,CWS,LAA,LAA,1,1,0,0,0,6,28,6,2,2,1,3,11,0.417,3,3.71,3.87,9,1.5,16.5,4.5,6,2019,43,70,2,Bad Start
8/27/2019,ANA201908270,564798,Mike Minor,minom001,10021,501985,minormi01,TEX,TEX,LAA,LAA,1,0,1,0,0,6.2,27,4,4,4,0,3,4,0.2,5.4,3.36,5.45,5.4,0,5.4,4.05,6.67,2019,34,71,1,Good Start
8/31/2019,ANA201908310,564801,Dillon Peters,peted001,18790,596071,peterdi01,LAA,LAA,BOS,BOS,1,0,0,0,0,6.1,27,7,4,3,0,0,6,0.333,4.26,1.32,3.83,9.95,0,8.53,0,6.33,2019,26,66,1,Good Start
9/10/2019,ANA201909100,564804,Zach Plesac,plesz001,19979,668676,plesaza01,CLE,CLE,LAA,LAA,1,1,0,0,0,9,32,4,0,0,0,2,5,0.16,0,2.77,4.76,4,0,5,2,9,2019,36,78,1,Good Start
4/7/2019,ARI201904070,564835,Merrill Kelly,kellm002,11156,518876,kellyme01,ARI,ARI,BOS,BOS,1,0,1,0,0,8,27,4,1,1,1,0,9,0.176,1.13,2.59,2.95,4.5,1.12,10.12,0,8,2019,24,70,1,Good Start
4/9/2019,ARI201904090,564836,Zack Greinke,greiz001,1943,425844,greinza01,ARI,ARI,TEX,TEX,1,0,0,0,0,6.2,29,7,4,3,0,1,9,0.368,4.05,0.96,1.56,9.45,0,12.15,1.35,6.67,2019,35,67,1,Good Start
4/9/2019,ARI201904090,564836,Mike Minor,minom001,10021,501985,minormi01,TEX,TEX,ARI,ARI,1,0,0,0,0,7,27,5,2,2,2,2,5,0.167,2.57,6.36,5.77,6.43,2.57,6.43,2.57,7,2019,37,62,1,Good Start
4/11/2019,ARI201904110,564838,Zack Godley,godlz001,14862,643327,godleza01,ARI,ARI,SDP,SD,1,0,0,0,0,6,27,6,6,6,2,3,8,0.308,9,6.88,4.87,9,3,12,4.5,6,2019,34,62,2,Bad Start
4/30/2019,ARI201904300,564845,Zack Greinke,greiz001,1943,425844,greinza01,ARI,ARI,NYY,NYY,1,1,0,0,0,7.2,27,5,1,1,0,1,7,0.263,1.17,1.78,3.85,5.87,0,8.22,1.17,7.67,2019,35,67,1,Good Start
5/11/2019,ARI201905110,564849,Merrill Kelly,kellm002,11156,518876,kellyme01,ARI,ARI,ATL,ATL,1,0,1,0,0,7,28,8,3,3,1,0,5,0.318,3.86,3.64,4.06,10.29,1.29,6.43,0,7,2019,28,65,1,Good Start
5/14/2019,ARI201905140,564852,Luke Weaver,weavl001,16918,596133,weavelu01,ARI,ARI,PIT,PIT,1,0,1,0,0,6,27,7,3,3,1,2,5,0.316,4.5,4.71,5.2,10.5,1.5,7.5,3,6,2019,38,65,2,Bad Start
5/18/2019,ARI201905180,564855,Madison Bumgarner,bumgm001,5524,518516,bumgama01,SFG,SF,ARI,ARI,1,1,0,0,0,6.1,27,5,4,4,1,3,6,0.235,5.68,4.79,5.25,7.11,1.42,8.53,4.26,6.33,2019,38,67,2,Bad Start
5/31/2019,ARI201905310,564857,Zach Wheeler,wheez001,10310,554430,wheelza01,NYM,NYM,ARI,ARI,1,1,0,0,0,7,28,7,4,4,2,0,9,0.294,5.14,4.36,2.92,9,2.57,11.57,0,7,2019,28,74,1,Good Start
6/2/2019,ARI201906020,564859,Merrill Kelly,kellm002,11156,518876,kellyme01,ARI,ARI,NYM,NYM,1,1,0,0,0,7.2,28,6,1,1,1,0,10,0.294,1.17,2.3,1.9,7.04,1.17,11.74,0,7.67,2019,38,67,1,Good Start
6/2/2019,ARI201906020,564859,Steven Matz,matzs001,13361,571927,matzst01,NYM,NYM,ARI,ARI,1,0,1,0,0,6,28,8,5,5,2,2,5,0.316,7.5,6.88,4.54,12,3,7.5,3,6,2019,33,66,2,Bad Start
6/3/2019,ARI201906030,564860,Robbie Ray,ray-r002,11486,592662,rayro02,ARI,ARI,LAD,LAD,1,0,1,0,0,7,27,6,3,3,1,1,9,0.313,3.86,2.93,2.21,7.71,1.29,11.57,1.29,7,2019,31,67,1,Good Start
